SiteName,PrimaryUse,Borough,AreaHa,Access,,,,,,,,,
Waterlow Park,Park,Camden,10.0634,Free,,,,,,,,,
3 Point Park,Play space,Camden,0.0712,Free,,Borough,Population,Total Hectares,Avg Hectares,No. of Sites,Hectares per capita,Sites per capita,Avg IMD Score
Grove Terrace Squares,Formal garden,Camden,0.3615,Free,,Islington,217000,86.0098,0.7298140625,128,3.96E-04,5.90E-04,4.49
Russell Square,Formal garden,Camden,2.4687,Free,,Kensington & Chelsea,144000,64.2706,0.637719802,101,4.46E-04,7.01E-04,5.21
St George's Gardens,Formal garden,Camden,0.838,Free,,Lambeth,317000,214.3485,2.213864948,97,6.76E-04,3.06E-04,4.53
St Pancras New Church Ground,Formal garden,Camden,0.0505,Free,,Tower Hamlets,326000,263.5192,1.845053061,147,8.08E-04,4.51E-04,5.19
British Library Forecourt,Civic/market square,Camden,0.4087,Restricted,,Southwark,312000,326.3587,3.774866667,87,1.05E-03,2.79E-04,4.87
St Pancras Gardens,Park,Camden,2.1271,Free,,Hammersmith & Fulham,183000,199.2884,4.312871111,45,1.09E-03,2.46E-04,4.51
Goldington Crescent Gardens,Formal garden,Camden,0.2735,Free,,Hackney,261000,307.1079,3.343797849,93,1.18E-03,3.56E-04,4.33
St Katherines Precinct,Landscaping around premises,Camden,0.1289,Free,,Westminster,205000,242.2576,3.066528283,99,1.18E-03,4.83E-04,5.26
Langdale open space,Amenity green space,Camden,0.133,Free,,Lewisham,299000,384.3848,4.106269307,101,1.29E-03,3.38E-04,4.65
Kirkfell open space,Amenity green space,Camden,0.0532,Free,,Wandsworth,329000,465.409,6.127313636,66,1.41E-03,2.01E-04,5.87
Clarence Way Open Space,Amenity green space,Camden,0.2374,Free,,Camden,218000,585.9215,3.589220765,183,2.69E-03,8.39E-04,5.41
Augustus House MUGA,Other recreational,Camden,0.0481,Free,,Greenwich,291000,813.156,3.709733838,198,2.79E-03,6.80E-04,4.33
Camden Gardens,Formal garden,Camden,0.2319,Free,,,,,,,,,
Regents Canal - Regents Park,Canal,Camden,0.4486,Free,,,,,,,,,
Lupton Road pocket park (north),Park,Camden,0.0086,Free,,,,,,,,,
St Benets Ground (South),Park,Camden,0.042,Free,,,,,,,,,
Alf Barrett Playground,Play space,Camden,0.0614,Free,,,,,,,,,
Doynton Street Open Space,Formal garden,Camden,0.0383,Free,,,,,,,,,
Hampstead Heath - Northeast,Other recreational,Camden,36.9751,Free,,,,,,,,,
Hampstead Heath - Whitestone Pond,Other recreational,Camden,0.2952,Free,,,,,,,,,
Oriel Place Garden,Civic/market square,Camden,0.0154,Free,,,,,,,,,
Hampstead Heath - Whitestone Garden,Public woodland,Camden,0.1542,Free,,,,,,,,,
Hampstead Heath - Hill Garden and Pergola,Formal garden,Camden,1.3895,Free,,,,,,,,,
Branch Hill House Woodland,Public woodland,Camden,0.2134,Free,,,,,,,,,
King's College Hampstead Campus,Formal garden,Camden,0.3719,Free,,,,,,,,,
Hampstead Heath - West Heath,Other recreational,Camden,30.0321,Free,,,,,,,,,
Regent's Place - Regent's Plaza,Civic/market square,Camden,0.3158,Free,,,,,,,,,
Maiden Lane Open Space,Amenity green space,Camden,0.8507,Free,,,,,,,,,
Maitland Park Villas,Amenity green space,Camden,0.0725,Free,,,,,,,,,
Iverson Road Open Space,Park,Camden,0.2416,Free,,,,,,,,,
Harrington House open space,Amenity green space,Camden,0.0479,Free,,,,,,,,,
Brunswick Square,Other hard surfaced areas,Camden,0.245,Free,,,,,,,,,
Grand Union Canal - Regents Canal,Canal,Camden,5.8114,Free,,,,,,,,,
West Kentish Town Estate Play Area,Other recreational,Camden,0.0843,Free,,,,,,,,,
Hampstead Heath - Sandy Heath,Other recreational,Camden,19.7517,Free,,,,,,,,,
Hampstead Heath - East Heath,Park,Camden,66.8047,Free,,,,,,,,,
Hampstead Parish Churchyard,Cemetery/churchyard,Camden,0.9073,Free,,,,,,,,,
Hampstead Heath - Whitestone Pond,Other recreational,Camden,0.1081,Free,,,,,,,,,
Fortune Green,Park,Camden,0.8295,Free,,,,,,,,,
Polygon Road Playground,Play space,Camden,0.0861,Free,,,,,,,,,
St Andrews Gardens,Formal garden,Camden,0.6731,Free,,,,,,,,,
Maiden Lane open space and playground,Play space,Camden,0.1515,Free,,,,,,,,,
Gordon Square Garden,Formal garden,Camden,0.9195,Free,,,,,,,,,
102 Camley Street play space,Play space,Camden,0.0253,Free,,,,,,,,,
Cumberland Market Estate Playground,Play space,Camden,0.0481,Free,,,,,,,,,
Derwent open space,Amenity green space,Camden,0.0601,Free,,,,,,,,,
Clarence Gardens,Formal garden,Camden,0.3049,Free,,,,,,,,,
Castlehaven Community Park,Park,Camden,0.8983,Free,,,,,,,,,
St George's Terrace Open Space,Formal garden,Camden,0.0998,Free,,,,,,,,,
West Kentish Town Estate,Amenity green space,Camden,0.6444,Free,,,,,,,,,
Falkland Place Open Space,Play space,Camden,0.0639,Free,,,,,,,,,
Carlton Playing Court,Other recreational,Camden,0.1015,Free,,,,,,,,,
Belsize Wood Nature Reserve,Nature reserve,Camden,0.2851,Restricted,,,,,,,,,
Talacre Open Space,Park,Camden,1.8896,Free,,,,,,,,,
"St Martin's Church, Gospel Oak",Cemetery/churchyard,Camden,0.1175,Free,,,,,,,,,
Primrose Hill,Park,Camden,25.2299,Free,,,,,,,,,
SOAS Open Space,Amenity green space,Camden,0.1249,De facto,,,,,,,,,
Central Saint Giles,Civic/market square,Camden,0.1158,Free,,,,,,,,,
New Square Gardens,Formal garden,Camden,0.305,Restricted,,,,,,,,,
Westbere Copse Public Open Space,Public woodland,Camden,0.1659,Free,,,,,,,,,
Quex Road Playground,Play space,Camden,0.041,Free,,,,,,,,,
Heritage Lane Square,Civic/market square,Camden,0.0355,Free,,,,,,,,,
West End Lane,Park,Camden,0.1284,Free,,,,,,,,,
Westbere Copse (Jenny Wood) Nature Reserve,Nature reserve,Camden,0.2288,Restricted,,,,,,,,,
Mill Lane (no. 160),Play space,Camden,0.1648,Free,,,,,,,,,
Fleet Valley Pocket Park,Park,Camden,0.0629,Free,,,,,,,,,
Malet Street Gardens,Formal garden,Camden,0.255,Restricted,,,,,,,,,
Whitfield Gardens,Formal garden,Camden,0.0944,Free,,,,,,,,,
Princes Circus (north),Civic/market square,Camden,0.1223,Free,,,,,,,,,
Marchmont Community Garden,Community garden,Camden,0.0258,Free,,,,,,,,,
Cumberland Market,Park,Camden,0.4823,Free,,,,,,,,,
Wharf Road Gardens,Formal garden,Camden,0.1862,Free,,,,,,,,,
UCL Courtyard (Gower Gardens),Civic/market square,Camden,0.4488,Free,,,,,,,,,
Brookes Market Open Space,Civic/market square,Camden,0.0548,Free,,,,,,,,,
Alexandra Road Park,Park,Camden,1.2235,Free,,,,,,,,,
Tavistock Square Gardens (Camden),Formal garden,Camden,0.9491,Free,,,,,,,,,
Calthorpe Community Garden,Community garden,Camden,0.4383,Restricted,,,,,,,,,
Woburn Square Gardens,Formal garden,Camden,0.1959,Restricted,,,,,,,,,
Augustus House Play Area,Play space,Camden,0.1054,Free,,,,,,,,,
Alfred Place Gardens,Formal garden,Camden,0.1435,Free,,,,,,,,,
The Phoenix Garden,Community garden,Camden,0.12,Free,,,,,,,,,
Whitfield Gardens Children's Play Area,Play space,Camden,0.0568,Restricted,,,,,,,,,
Lymington Road Estate Play Area,Play space,Camden,0.247,Free,,,,,,,,,
