LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile,,Aggregate IMD Decile,Borough
E01000842,Camden 011A,E09000007,Camden,"26,391",9,,5.41,Camden
E01000843,Camden 014A,E09000007,Camden,"20,412",7,,4.33,Greenwich
E01000844,Camden 011B,E09000007,Camden,"24,762",8,,4.33,Hackney
E01000845,Camden 014B,E09000007,Camden,"22,982",7,,4.51,Hammersmith & Fulham
E01000846,Camden 014C,E09000007,Camden,"12,675",4,,4.49,Islington
E01000847,Camden 014D,E09000007,Camden,"16,872",6,,5.21,Kensington & Chelsea
E01000848,Camden 011C,E09000007,Camden,"29,434",9,,4.53,Lambeth
E01000849,Camden 011D,E09000007,Camden,"27,430",9,,4.65,Lewisham
E01000850,Camden 026A,E09000007,Camden,"19,686",6,,4.87,Southwark
E01000851,Camden 026B,E09000007,Camden,"18,953",6,,5.19,Tower Hamlets
E01000852,Camden 026C,E09000007,Camden,"19,304",6,,5.87,Wandsworth
E01000853,Camden 025A,E09000007,Camden,"7,640",3,,5.26,Westminster
E01000854,Camden 026D,E09000007,Camden,"18,104",6,,,
E01000855,Camden 028A,E09000007,Camden,"19,276",6,,,
E01000856,Camden 019A,E09000007,Camden,"7,345",3,,,
E01000857,Camden 018A,E09000007,Camden,"19,069",6,,,
E01000858,Camden 018B,E09000007,Camden,"4,987",2,,,
E01000859,Camden 018C,E09000007,Camden,"28,039",9,,,
E01000860,Camden 018D,E09000007,Camden,"16,393",5,,,
E01000861,Camden 019B,E09000007,Camden,"6,470",2,,,
E01000862,Camden 018E,E09000007,Camden,"23,485",8,,,
E01000863,Camden 021A,E09000007,Camden,"6,114",2,,,
E01000864,Camden 015A,E09000007,Camden,"16,182",5,,,
E01000865,Camden 015B,E09000007,Camden,"20,799",7,,,
E01000866,Camden 009A,E09000007,Camden,"12,432",4,,,
E01000867,Camden 015C,E09000007,Camden,"8,822",3,,,
E01000868,Camden 015D,E09000007,Camden,"4,488",2,,,
E01000869,Camden 015E,E09000007,Camden,"12,664",4,,,
E01000870,Camden 009B,E09000007,Camden,"9,686",3,,,
E01000871,Camden 005A,E09000007,Camden,"19,707",7,,,
E01000872,Camden 005B,E09000007,Camden,"11,176",4,,,
E01000873,Camden 005C,E09000007,Camden,"26,279",9,,,
E01000874,Camden 005D,E09000007,Camden,"30,591",10,,,
